token,count,example
moonlife,4,"The attacker visibly loses his cool. ""Admit it! You killed him and took his face so you could wear it instead of a costume! I haven't heard from my brother in a"
timeus,4,"[Address the man] ""Are you aware that your servant is trying to protect you, Sir Timeus?"""
garra,4,"""Garra?"""
pent-up,4,"As soon as you approach, everyone's attention shifts to you. For now, their reaction feels closer to pent-up irritation than outright hostility."
lucra,4,"In one precise movement, the Proctor carries out the execution. Lucra falls to the ground with a crash."
pot-bellied,4,"""Rubbish! I've heard that tale before, and only an idiot would believe it. {rt_mf|He|She}'s a noble{rt_mf|man|woman} like any other, just a more important one. "
sycophancy,4,"""Indeed. At first, one could mistake it for sycophancy and an attempt to appease the 'celestial guests,' but the longer it goes on, the more apparent the crimin"
data-chip,4,The protocol data-chip has been polished to a high shine and is encased in a thin wooden frame. You can see yourself in its mirrored surface if you wish.
holdeth,4,"""The Chronicle of Fates, by Gorgorius Falt"" ""Chapter 1"" ""Let these instructions enlighten all who walk in my footsteps. He That Holdeth the Key permits none but"
chittering,4,"The central skull's vox clicks briefly, and chittering sounds come from another skull's hurrying quill. A short note falls into your hand: ""Recording a possibil"
tazarra's,4,One of Tazarra's eyes has been ruined by the cyber-eagle's talons.
matter-of-fact,4,"""Only that the governor is failing in his responsibilities."" The Proctor's voice is dry, matter-of-fact. ""This is a planet-wide rebellion, and it reeks of madne"
scribing,4,"An old woman walks in the Marshal's shadow, her body fitted with dozens of scribing implants and magnifying instruments. If not for her eyes, quick and inquisit"
lussarius,4,A finely dressed man greets you with an incredibly radiant smile. His meticulously polished jaw augmentation reflects the palace's interior as sharply as a mirr
one-of-a-kind,4,"""At first I thought Theodora was going to pay me visits so she could gloat, but she never once appeared on the station. I have a different explanation now: for "
secundas,4,Lord Secundas
pras's,4,"""The replacement Choirmaster appointed in the wake of Master Pras's execution was taken from a Chorda world where he was serving at the time. That left the plan"
short-sightedness,4,"""Only the guilty try to defend themselves, whereas I acted in the interests of the Imperium. Such a shame that some things cannot be set right by bureaucratic m"
self-righteous,4,"""Solomorne, this is not some filthy hive backwater. You will cease your self-righteous investigations at once, and you had better hope I hear no further complai"
comms,4,"Vigdis presses her hands together. ""Reports of fugitive criminals, which number in the hundreds, are of low priority. What's more, I know that Lord Captain Theo"
cogbelly,4,"""In the ice-bound lake of tears, you will find what has been lost, but will you find peace? Death has a single eye that watches from the darkness of the ages, b"
unsolvable,4,"""The Omnissiah has granted many revelations to these xenos, and they have turned them into riddles that are, at times, unsolvable. What? Yes, Nuncius, I am well"
primitiveness,4,"""And what would we do without a bloodhound with such amazing instincts? Oh yes, we'd be spared the priceless opportunity to appreciate the primitiveness of your"
unclenching,4,"Tervantias hisses in displeasure, clenching and unclenching his clawed hands. ""I am uncertain what gave you the impression that you are entitled to raise your v"
kh-kh-kh,4,"The cadaver wheezes, ""Re-quest... kh-kh-kh... As-sign new... kh... ow-ner."""
mid-air,4,"Eogunn hovers in mid-air, obsessively examining Nuncius. The servo-skull rests in the Tech-Priest's hands, his eye dark and his manipulators still. It seems tha"
tallar,4,"""To the best of my knowledge, the cloister Mistress Tallar is referring to is located in the Furibundus System. Its denizens are not well disposed to communicat"
vox-distorted,4,"The procession of Tech-Priests and augmented officers stops a dozen paces away from your throne. A female Tech-Priest, whose robe bears marks of high distinctio"
medicaments,4,"""Do not be so hasty, colleague. Heal with the mind, not with medicaments — that's one of the key wisdoms of the Officio Medicae."" The Vivisector stares at the w"
sumptuously,4,"""The fellow in the portrait was rather handsome and sumptuously dressed."""
vukchik,4,"""You're right. That Sergeant Vukchik, for one. You can put a void rat in a uniform, but that doesn't make them a soldier. I'll tell you this: when Vukchik's aro"
palatine,4,"""Ovedius Gaprak's company was destroyed on my orders, it is true. Palatine Lorcanda, having learned of their approach from me, brought the full might of the Ade"
four-xi,4,"""Elana to servants of the Golden Throne. Coordinates to strike the main headquarters: Four-Xi, Rho-Sigma..."" The tall woman standing over the vox is fully absor"
xenomechanism,4,"""The processing capacity of this unit's cogitator is insufficient to produce a precise prognostic calculation of the consequences. Preliminary hypothesis: deact"
same-old,4,"[The same-old situation, the same-old words. Everything is repeating itself. Now you can decide whether to follow what is predetermined or to try to break the c"
coryphaeus,4,"""Servants of the Golden Throne to Elana. Will you report on the movements of Heretic Coryphaeus?"" The deep, steady voice of the speaker is almost hypnotising."
vox-augment,4,"Yet the wisdom of the God-Emperor was still with me. The vox-augment that had replaced my throat amplified my voice a hundredfold, letting it drown out the cryp"
emitters,4,"The ominous buzzing of the awakened emitters echoes through the room. The green beams converge concentrically on the figure in the centre of the platform, turni"
pask's,4,"Pask's already grim face darkens still further. He rubs his eyes wearily before answering. ""Tech-Priest Alva-9 was in charge of matters related to security on t"
vanquisher,4,The Omnissiah's favour is with the vanquisher of the tech-leprosy epidemic.
xenocide,4,The Hand of Xenocide
xenocreatures,4,"This object came from the body of one of the mysterious xenocreatures, hordes of which emerged from the depths on Vheabos VI and swarmed the planet for a brief "
mag-trains,4,A planet's manufactorums are only as efficient as its logistical system. Lexmechanics predict a major growth in the world's overall manufacturing output if haul
forge-cathedral,4,"For generations, the Adeptus Mechanicus have been custodians of the machinery and cogitators of Kiava Gamma. Recognising the value of this tragedy-stricken worl"
devitalisation,4,Devitalisation
hyperphased,4,The Chronomancer causes 3 random obelisks to become hyperphased for 1 round.
talos,4,Transfigured Talos
sharp-tongued,4,"""You're not the only one, cog. We should make this day a holiday marking the death of that sharp-tongued wretch! He was a particularly foul specimen, even for a"
masse,4,"""Our augur operators are reporting numerous uprisings and other manifestations of the Archenemy's powers at various locations on the planet. Based on the fragme"
aati,4,"The mutilated man does not stir, bound in his shackles. The plaque near his head reads: ""Most Holy Prophet and Optimate Aati Shan."""
shan,4,"The mutilated man does not stir, bound in his shackles. The plaque near his head reads: ""Most Holy Prophet and Optimate Aati Shan."""
orsellios,4,"""Lately, the Orsellios have been acting even more strangely than usual. They change their access codes with unreasonable frequency. Right before I left for Ryka"
laboratorum,4,"Research Notes of Navis Laboratorum Custodian Fortunata Orsellio, Part 13"
bas-reliefs,4,The governor's palace gleams with gilding that has been generously applied to all metal trims and prominent bas-reliefs.
military-grade,4,"The officer nods. ""We're using insecticide from our stockpiles, Your Lordship. We don't have any military-grade poisons, but we don't need them, not for this pa"
sinisthoria's,4,"""The Chasm is controlled by the Fatal Thirst — not the biggest Wych Cult, but an old and respected one. Three Succubi stand at its head — Tazarra, Keykeross, an"
convector,4,"""The convector has been repaired. Help me."""
omniscope,4,"With your wavering vision, you see a hooded figure that appears to have an omniscope for a head. The absurdity of it nearly makes you laugh."
keykeross's,4,"""If you manage to kill her, run. Sinisthoria will not let such impertinence go unpunished, and her wrath is a hundredfold more dangerous than Keykeross's fury. "
acothyst,4,"""What is an Acothyst?"""
arebennian's,4,"""The Arebennian's role is one of terror and isolation. They walk the Path of Damnation, doomed after death to surrender their soul to She Who Thirsts, and even "
scrifice,4,"The Mandrake's words are barely comprehensible: the creature is clearly not accustomed to the tongue of its dark kin. ""The Dracn din't offer a scrifice for our "
m-mercy,4,"""M-mercy?"""
xenoscum,4,"""To the void with you, xenoscum. I will not be a part of your games."""
sigma-s,4,"The shuttles would have blocked out the sun, if you could have seen it through the smoke of the manufactorum city of Sigma-S-13. At its heart stood the Machine "
doomscream's,4,"It was the Rogue Trader's wise guidance that allowed their strikes to pierce Doomscream's armour. Brutally wounded and humiliated, the profane executioner had n"
cog-priests,4,"""A fine victory, ! They will tell sagas about the day the contemptible Uralon fell! The cog-priests should offer you a fine cup of mjod for saving their prayer "
three-tailed,4,"The woman's words are drowned out by your growing headache: irritation, contempt, and disappointment rack your mind like a three-tailed whip, accompanied by a h"
malefactions,4,"""No, or else his head wouldn't still be attached to his neck. But my pack has heard plenty about his strength and ignominious misdoings. One can see the evidenc"
